"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13321","GALGAL-R14909",0.0863144399194733,0.0601730294136926,0.0713721857633197,0.0422002176310015
"13322","GALGAL-R14910",45749.0190611435,14552.0311434566,87915.5023853002,2436.47961250484
"13323","GALGAL-R14911",0.31481054578421,0.22873018823746,0.16763324184856,0.30791430583257
"13324","GALGAL-R14912",0.020045378780281,0.00400460089099455,0.023792720255741,0.00947451183011156
"13325","GALGAL-R14913",4.76963475093377,1.15499516117624,2.31613402089537,0.600436319909756
"13326","GALGAL-R14914",15.4427571051191,3.41017483449226,21.1600459068443,3.06796306144601
"13327","GALGAL-R14916",0.177865817779982,0.0228431200232542,0.0355198242972883,0.0381454547738261
"13328","GALGAL-R14917",0.00361591293867644,0.00567931378825938,0.0169314252496764,0.0309108822379863
"13329","GALGAL-R14918",0,0,0,0
"13330","GALGAL-R14919",0.0959676549624292,0.119433634962523,0.262083126995706,0.039845601701721
"13331","GALGAL-R14920",0,0,0,0
"13332","GALGAL-R14921",0.0165313326797581,0.0120138026729836,0.0213072595588378,0.0144152985191702
"13333","GALGAL-R14922",0.000723182587735288,0.00123218488953678,0.000828486898967717,0.00113343128526322
"13334","GALGAL-R14923",28.0242403355662,242.348470553018,13300.9286437955,25.8899570733813
"13335","GALGAL-R14924",0.00470068682027937,0.00338850844622616,0.0307429433284102,0.0231634406120243
"13336","GALGAL-R14925",0.0764077445648874,0.0667201653871537,0.125840218823895,0.11810211981401
"13337","GALGAL-R14926",0,0,0,0
"13338","GALGAL-R14927",2.47476266053042,0.948749916790901,2.19629569138025,1.9643889277712
"13339","GALGAL-R14928",0.105706377978794,0.0781144573132052,0.113855198943137,0.05004648326909
"13340","GALGAL-R14929",0.0916593185128131,0.0507851257395318,0.122837999556989,0.0310974596088669
"13341","GALGAL-R14930",0.211581923860459,0.210401850703827,0.509601315175368,0.17415092032155
"13342","GALGAL-R14931",0,0,0,0
"13343","GALGAL-R14932",4.05191405330699,3.17010903861736,594.858098050598,1.2662177536188
"13344","GALGAL-R14933",0.153777205377123,0.0643842597847785,0.126893773804017,0.0429984881041307
"13345","GALGAL-R14934",0.000361591293867644,0.000616092444768392,0.000828486898967717,0.000566715642631611
"13346","GALGAL-R14935",1.04265770737996,0.164127384642637,14.0256048652234,0.5927529296695
"13347","GALGAL-R14936",0.205673547424486,0.338049793423628,0.18947493155962,0.266408102404408
