"gene","average_expression","expression_prop"
"GALGAL-R08792",638763114744396,0.238456464379947
"GALGAL-R15676",576054087013690,0.202506596306069
"GALGAL-R12433",550419397600919,0.304089709762533
"GALGAL-R07715",531055574366682,0.280343007915567
"GALGAL-R11454",442857861183083,0.0356200527704486
"GALGAL-R06440",422164219965929,0.0537598944591029
"GALGAL-R14076",403959368502796,0.225923482849604
"GALGAL-R10459",377698800640650,0.0689313984168865
"GALGAL-R05306",370882498304233,0.935356200527705
"GALGAL-R08823",369076497746139,0.638852242744063
"GALGAL-R11525",277972929439769,0.970316622691293
"GALGAL-R08115",245737655029403,0.058377308707124
"GALGAL-R03218",231857579269566,0.197229551451187
"GALGAL-R01009",227295456949818,0.412928759894459
"GALGAL-R12255",222868650011159,0.914248021108179
"GALGAL-R04275",218408523458040,0.684366754617414
"GALGAL-R01537",207599971200171,0.401055408970976
"GALGAL-R09929",200395885562652,0.679419525065963
"GALGAL-R00719",189463130930426,0.0187994722955145
"GALGAL-R11408",181288176995889,0.687335092348285
"GALGAL-R00902",180569378890422,0.463720316622691
"GALGAL-R15748",175635487405627,0.227572559366755
"GALGAL-R05772",168815422154811,0.802110817941952
"GALGAL-R07067",162822586429696,0.0478232189973615
"GALGAL-R09940",156588682876958,0.169854881266491
"GALGAL-R02803",156483246255713,0.184366754617414
"GALGAL-R10739",151692826329293,0.112467018469657
"GALGAL-R12733",134102938570572,0.24934036939314
"GALGAL-R16616",128249153357068,0.733179419525066
"GALGAL-R09194",115821419365383,0.264841688654354
"GALGAL-R08595",93652466483329.2,0.722955145118733
"GALGAL-R12761",85103256709464.7,0.283970976253298
"GALGAL-R04674",85084418775857,0.507585751978892
"GALGAL-R05541",67375812319593.5,0.187664907651715
"GALGAL-R02268",65155233576214.1,0.212071240105541
"GALGAL-R04086",60822840170746.1,0.0329815303430079
"GALGAL-R15773",58531613248220.8,0.218337730870712
"GALGAL-R00754",53072159424244,0.0141820580474934
"GALGAL-R00557",48312830626923.6,0.113456464379947
"GALGAL-R11228",46960604734585.8,0.0867414248021108
"GALGAL-R09951",45648200200879.2,0.0329815303430079
"GALGAL-R00147",44012890477820.3,0.231530343007916
"GALGAL-R14556",43046980572020.6,0.869722955145119
"GALGAL-R00226",38110803417056.8,0.253957783641161
"GALGAL-R01692",34888892158520.7,0.312005277044855
"GALGAL-R15766",30401781682000.7,0.095976253298153
"GALGAL-R11002",29545444482805.9,0.0488126649076517
"GALGAL-R04156",29428731619060.3,0.530343007915567
"GALGAL-R05032",28754847943948.4,0.592348284960422
"GALGAL-R07287",28172810516169.2,0.350263852242744
"GALGAL-R13354",27560307377732.7,0.247691292875989
"GALGAL-R16360",27468505625279.7,0.33509234828496
"GALGAL-R16746",25914628130766.5,0.966029023746702
"GALGAL-R01826",25744649361923.3,0.527704485488127
"GALGAL-R15445",24240320602559.4,0.464379947229551
"GALGAL-R09541",23284227954040.6,0.0461741424802111
"GALGAL-R10751",20701475107396.6,0.41589709762533
"GALGAL-R10801",19645219318106,0.319920844327177
"GALGAL-R12297",19628462580912.2,0.339050131926121
"GALGAL-R14619",18928650692924.3,0.557058047493404
"GALGAL-R15915",18621452107338.7,0.95811345646438
"GALGAL-R11369",17848942853740.8,0.192941952506596
"GALGAL-R07391",17695489578484,0.54254617414248
"GALGAL-R16741",14385227486523.4,0.0771767810026385
